timestamp,latitude,longitude,northing,easting,zone_letter,zone_number,elevation
2017-02-23 17:38:54,-24.9369231798,-51.3911621086,460507.6180177472,7241979.790875826,J,22,880.57
2017-02-23 17:38:57,-24.9369191565,-51.39119186439999,460504.6125095697,7241980.2277251575,J,22,878.25
2017-02-23 17:39:05,-24.936905661599997,-51.3912719954,460496.51796518744,7241981.698714473,J,22,877.46
2017-02-23 17:39:21,-24.936829553899997,-51.391395209399995,460484.0536735762,7241990.090243999,J,22,876.68
2017-02-23 17:39:37,-24.9367241096,-51.3914537989,460478.10468193213,7242001.748980445,J,22,875.92
2017-02-23 17:39:46,-24.936677003299998,-51.391464863,460476.97259301116,7242006.96181083,J,22,878.39
2017-02-23 17:40:00,-24.936625119299997,-51.3915169984,460471.6923000893,7242012.691726352,J,22,878.36
2017-02-23 17:40:12,-24.936543060500004,-51.391542898500006,460469.0511700002,7242021.77050676,J,22,879.18
2017-02-23 17:40:25,-24.9364900868,-51.3915420603,460469.1188966609,7242027.636491897,J,22,880.0
2017-02-23 17:40:40,-24.9363917671,-51.3915770128,460465.55861539836,7242038.513196422,J,22,879.96
2017-02-23 17:40:53,-24.9362834729,-51.3915952016,460463.6876629811,7242050.49924669,J,22,880.76
2017-02-23 17:40:58,-24.9362372048,-51.3915998954,460463.19899858546,7242055.621115776,J,22,881.55
2017-02-23 17:41:10,-24.9361147452,-51.391613055,460461.831286879,7242069.177153681,J,22,883.22
2017-02-23 17:41:12,-24.936094963899997,-51.3916202635,460461.09718041134,7242071.365425987,J,22,883.2
2017-02-23 17:41:30,-24.9359466042,-51.39160777439999,460462.310782877,7242087.79682602,J,22,885.67
2017-02-23 17:41:40,-24.9358675629,-51.3915937766,460463.69882986473,7242096.5530865025,J,22,885.61
2017-02-23 17:41:57,-24.935703780500003,-51.3915980514,460463.21497228736,7242114.687353449,J,22,885.56
2017-02-23 17:42:11,-24.935628930100002,-51.3915806171,460464.9513219823,7242122.980557839,J,22,885.43
2017-02-23 17:42:23,-24.9356324505,-51.3916113786,460461.8466488265,7242122.581796978,J,22,885.49
2017-02-23 17:42:38,-24.935753066100002,-51.391670051999995,460455.9612545145,7242109.209044229,J,22,885.51
2017-02-23 17:42:54,-24.9358331971,-51.3917000592,460452.957192351,7242100.327462546,J,22,885.45
2017-02-23 17:42:56,-24.9358408246,-51.3917081058,460452.1472131764,7242099.480533136,J,22,885.44
2017-02-23 17:43:01,-24.935881895900003,-51.391721600699995,460450.79782867973,7242094.928809431,J,22,885.43
2017-02-23 17:43:14,-24.935991363600003,-51.3917643484,460446.5168125002,7242082.795085815,J,22,885.38
2017-02-23 17:43:25,-24.9360714946,-51.3917748258,460445.48455739435,7242073.9191862345,J,22,882.71
2017-02-23 17:43:46,-24.936119439099997,-51.391783626800006,460444.6112838049,7242068.607763274,J,22,881.95
2017-02-23 17:44:04,-24.9362330977,-51.39184976,460437.97054338094,7242056.003173828,J,22,881.08
2017-02-23 17:44:17,-24.936353378000003,-51.391857638999994,460437.2134582311,7242042.682325361,J,22,880.21
2017-02-23 17:44:20,-24.9363836367,-51.391862081400006,460436.7746009325,7242039.330507016,J,22,879.4
2017-02-23 17:44:35,-24.936521854299997,-51.3918542024,460437.61422098445,7242024.0280609755,J,22,878.6
2017-02-23 17:44:47,-24.936629729299998,-51.3918547891,460437.5894295821,7242012.082965357,J,22,878.64
2017-02-23 17:44:52,-24.936664346599997,-51.391898626499994,460433.1745311489,7242008.237052277,J,22,878.66
2017-02-23 17:45:00,-24.9367366824,-51.391930896800005,460429.93952855776,7242000.217962217,J,22,878.71
2017-02-23 17:45:16,-24.9368867185,-51.391870211800004,460436.114366817,7241983.622236542,J,22,878.66
2017-02-23 17:45:21,-24.936923682699998,-51.3918521069,460437.9540893624,7241979.534486851,J,22,878.66
2017-02-23 17:45:37,-24.9370327312,-51.3918430544,460438.9028719732,7241967.462255985,J,22,877.79
2017-02-23 17:45:57,-24.937064414800002,-51.3918458205,460438.6337155608,7241963.953147167,J,22,877.9
2017-02-23 17:46:14,-24.937163908000002,-51.3918127958,460441.99973921204,7241952.9459465705,J,22,875.53
2017-02-23 17:46:27,-24.9372410215,-51.3917780947,460445.5278665833,7241944.41732209,J,22,873.97
2017-02-23 17:46:40,-24.937291899699996,-51.3917592354,460447.4481889742,7241938.789102812,J,22,873.13
2017-02-23 17:46:57,-24.9373156205,-51.3917392027,460449.47831023415,7241936.168345332,J,22,873.14
2017-02-23 17:47:12,-24.937322242199997,-51.3917422201,460449.17578005965,7241935.434250744,J,22,872.39
2017-02-23 17:48:11,-24.937255270799998,-51.3912941236,460494.39531192277,7241942.980293597,J,22,869.04
2017-02-23 17:48:13,-24.9372444581,-51.391290519399995,460494.75575317006,7241944.178624319,J,22,869.04
